Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,WATERSHED,GREAT LAKES,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"6,620",38.4
CENSUS,2023,YEAR,WATERSHED,GREAT LAKES,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"3,261",62.1
CENSUS,2023,YEAR,WATERSHED,OHIO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,076",76.5
CENSUS,2023,YEAR,WATERSHED,OHIO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"5,528",86.2
CENSUS,2023,YEAR,WATERSHED,OHIO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,469",61.0
CENSUS,2023,YEAR,WATERSHED,UPPER MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,226",93.3
CENSUS,2023,YEAR,WATERSHED,UPPER MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"3,353",97.1
CENSUS,2023,YEAR,WATERSHED,UPPER MISSISSIPPI,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"24,652",27.4
CENSUS,2023,YEAR,WATERSHED,LOWER MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"3,052",75.1
CENSUS,2023,YEAR,WATERSHED,LOWER MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"4,452",64.3
